"","x"
"101","i want to be transferred because of the back pain that i have for two years
without recovering, in order to get further treatment.
"
"102","making sure that they have all kinds of medicine here instead of telling us to
come at another yet we are suffering.
"
"103","assigning three nurse in consultation, so that services can be fast and we can
go back home early to prepare lunch to our children.
"
"104","at laboratory, they have to give us the results from samples on time because
they delay more which makes us feel neglected.
"
"105","advocate for the presence of ear specialists to visit here at least once in the
month to help the patients of concern.
"
"106","children with 1 year of age should be given syrups for treatment instead of
tablets for their easy use.
"
"107","for patients who have been treated several times without improvement should be
oriented to another level for better and further treatment.
"
"108","i want that they transfer my child who has a problem of ear discharge for long
time, so that she can get further treatment.
"
"109","assigning a person who will orient us while we are at district hospital instead
of leaving us there without knowing what to do next.
"
"110","if they have all kind of medicine, our circumcised children will not go back
home without being treated.
"
"111","quickening the request of special medicine from kigali to help us taking our
cure on time.
"
"112","better they add another nurse at consultation in order to quicken services there
because only one nurse is serving such number of patients
"
"113","the days circumcision campaign takes are less than it was expected that's why
all children were not served.
"
"114","my daughter was ear illness since she was one year old, my wish is to meet the
doctor for further treatment.
"
"115","it is hard for one nurse to provide service to over 60 patients. better they
increase the number of nurses, so that we can't feel bored.
"
"116","my son has respiratory issues and the medicine he gets here did nothing. better
to transfer him to a radiographer for more treatment.
"
"117","they should refer to the files that show patient information, so that they can
change the medicine to him/her.
"
"118","it will be better if they change the medicine for patient who comes here
frequently without any change, in order to help him/her to recover.
"
"119","i came several times looking the prescribed special medicine but nothing
delivered. better they explain me why it delays to avoid confusion.
"
"120","they should have all kind of medicine, so that we can't go back home without
them while we are suffering.
"
"121","avail miconazole in the pharmacy because it has been long when i am told that it
is not available yet i use it always for my treatment
"
"122","if a patient has been to a nurse for  long time without improvement better refer
her or him to the medical coordinator for further treatment
"
"123","add clinicians to cover the gap at minor surgery since we are being served late
or even go home without being treated or carry medicine.
"
"124","change drugs provided several times for patients who do not come up with
improvement on their sickness.
"
"125","levelise the veranda that steps ahead in the pharmacy to help patients with
crutches to walk comfortably.
"
"126","if the medicine they provided to a patient did nothing, better to change those
medicine in order to help him/her in quick recovery.
"
"127","my child has the problem of having pus in ears for long time. better to change
the medicine she always gets, so that she can recover.
"
"128","if there is one more nurse who is consulting, services will be provided fast and
we will not wait to be served for long time.
"
"129","we are waiting for a while here at minor surgery, waiting for dressing
unfortunately none is around to serve us. we wish quick service.
"
"130","there should be a nurse who have to work in minor surgery every time, so that we
can't take long time waiting to be served.
"
"131","i frequently have abscess and the  injection help me to recover. better to
inject me instead of giving me drugs, for quick recovery.
"
"132","it will be better if there one more nurse who is consulting, so that the
services can be as fast as it was before.
"
"133","if a patient come here frequently without recovering, they should transfer
him/her to a radiographer to discover the sickness.
"
"134","my baby has had scabies for long time and the medicine he got did nothing. i
wish that they inject him so that he can be healed.
"
"135","we are spending long waiting for minor surgery nurse we want to have this issue
resolved to have fair treatment.
"
"136","add another clinician in opd consultation to speed up services because we are
fade up of waiting for too long
"
"137","the services are not being provided fast. it will better if they increase the
number of nurses who are consulting.
"
"138","i usually came here because i have a problem with my ribs, but the medicine i
get does nothing. i want to see the doctor for more treatment
"
