"city","location","country_name","state","service_point_name","lat","lng"
"Bucaramanga","Bucaramanga","Colombia","Santander","Farmacia",7.119349,-73.1227416
"Bucaramanga","Bucaramanga","Colombia","Santander","Cita Médica",7.119349,-73.1227416
"Bucaramanga","Bucaramanga","Colombia","Santander","Laboratorio",7.119349,-73.1227416
"Bucaramanga","Bucaramanga","Colombia","Santander","Phone Calls",7.119349,-73.1227416
"Bucaramanga","Bucaramanga","Colombia","Santander","Bucaramanga",7.119349,-73.1227416
"Bucaramanga","IPS Sotomayor","Colombia","Santander","Cita Médica",7.1131221,-73.1116887
"Bucaramanga","La Pedregosa","Colombia","Santander","On-site",7.1005421,-73.1091429
"Bucaramanga","Piedecuesta","Colombia","Santander","On-site",6.991539,-73.053998
"Bucaramanga","Piedecuesta","Colombia","Santander","Phone Calls",6.991539,-73.053998
"Bucaramanga","Public Parks","Colombia","Santander","On-site",7.119349,-73.1227416
"Cali","Cali","Colombia","Valle del Cauca","Cali",3.44777565,-76.53221775
"Cartagena","Cartagena","Colombia","Bolivar","Punto de Atención",10.3932277,-75.4832311
"Cartagena","Localidad 2","Colombia","Bolivar","On-site",10.4059046,-75.4917383
"Cartagena","Pie de la Popa","Colombia","Bolivar","On-site",10.41955375,-75.53185515
"Cúcuta","Cúcuta","Colombia","Norte de Santander","Cúcuta",7.8890971,-72.4966896
"Cúcuta","Cúcuta","Colombia","Norte de Santander","Punto de Atención",7.8890971,-72.4966896
"Cúcuta","Cúcuta","Colombia","Norte de Santander","On-site",7.8890971,-72.4966896
"Cúcuta","Villa del Rosario","Colombia","Norte de Santander","On-site",7.8437879,-72.4696897
"Fonseca","Fonseca","Colombia","La Guajira","Fonseca",10.886123,-72.851515
"Los Patios","Los Patios","Colombia","Norte de Santander","Los Patios",7.833199,-72.504392
"Maicao","Maicao","Colombia","La Guajira","Punto de Atención",11.3800543,-72.2422465
"Maicao","Maicao","Colombia","La Guajira","Maicao",11.3800543,-72.2422465
"Malambo","Malambo","Colombia","Atlántico","Malambo",10.8575824,-74.7746834
"Manatí","Manatí","Colombia","Atlántico","Manatí",10.449239,-74.959371
"Medellín","Medellín","Colombia","Antioquia","Cita Médica",6.2476376,-75.5658153
"Medellín","Medellín","Colombia","Antioquia","Farmacia",6.2476376,-75.5658153
"Medellín","Medellín","Colombia","Antioquia","Laboratorio",6.2476376,-75.5658153
"Medellín","Medellín","Colombia","Antioquia","Phone Calls",6.2476376,-75.5658153
"Nariño","Nariño","Colombia","Nariño","Nariño",1.2897467,-77.3580033
"Otros","Otros","Colombia","Atlántico","Otros",10.6966159,-74.8741045
"Puerto Santander","Puerto Santander","Colombia","Norte de Santander","Puerto Santander",8.361323,-72.408389
"Riohacha","Riohacha","Colombia","La Guajira","Phone Calls",11.5384151,-72.9167838
"Riohacha","Riohacha","Colombia","La Guajira","Brigadas de Salud",11.5384151,-72.9167838
"Riohacha","Riohacha","Colombia","La Guajira","Punto de Atención",11.5384151,-72.9167838
"Riohacha","Riohacha","Colombia","La Guajira","On-site",11.5384151,-72.9167838
"Riohacha","Riohacha","Colombia","La Guajira","Riohacha",11.5384151,-72.9167838
"Santa Marta","Santa Marta","Colombia","Magdalena","Santa Marta",11.2403547,-74.2110227
"Santiago","Santiago","Colombia","Norte de Santander","Santiago",7.864145,-72.717692
"Soacha","Fundación Colombia Nuevos Horizontes Soacha","Colombia","Cundinamarca","On-site",4.5772002,-74.2092261
"Soacha","IOM Health Service Day: Sisben De La Secretaria De Salud","Colombia","Cundinamarca","On-site",4.581578,-74.214907
"Soacha","Parque Central Soacha","Colombia","Cundinamarca","On-site",4.5821599,-74.2196189
"Soacha","Soacha","Colombia","Cundinamarca","Phone Calls",4.5827227,-74.2117465
"Soacha","Soacha","Colombia","Cundinamarca","Sala de Espera",4.5827227,-74.2117465
"Soacha","Soacha","Colombia","Cundinamarca","Talleres CIAD",4.5827227,-74.2117465
"Soacha","Soacha","Colombia","Cundinamarca","Punto de Atención",4.5827227,-74.2117465
"Soacha","Soacha","Colombia","Cundinamarca","Laboratorio",4.5827227,-74.2117465
"Soacha","Soacha","Colombia","Cundinamarca","Salud Mental",4.5827227,-74.2117465
"Soacha","Soacha","Colombia","Cundinamarca","Farmacia",4.5827227,-74.2117465
"Soacha","Soacha","Colombia","Cundinamarca","Soacha",4.5827227,-74.2117465
"Soacha","Soacha Barrios","Colombia","Cundinamarca","On-site",4.5827227,-74.2117465
"Soledad","Soledad","Colombia","Atlántico","Soledad",10.9215472,-74.7688173
"Villa del Rosario","Villa del Rosario","Colombia","Norte de Santander","Villa del Rosario",7.8437879,-72.4696897
"Villa del Rosario","Villa del Rosario","Colombia","Norte de Santander","Phone Calls",7.8437879,-72.4696897
